layer,feature,fire_fraction
7,6147,0.823
7,6153,0.023
7,6175,0.066
7,6212,0.065
7,6279,0.016
7,6291,0.057
7,6311,0.555
7,6326,0.792
7,6333,0.03
7,6372,0.02
7,6427,0.075
7,6459,0.413
7,6498,0.106
7,6620,0.205
7,6649,0.294
7,6713,0.629
7,6732,0.563
7,6847,0.047
7,6883,0.177
7,6927,0.214
7,6939,0.078
7,7011,0.015
7,7028,0.092
7,7170,0.033
7,7232,0.055
7,7301,0.015
7,7331,0.079
7,7339,0.043
7,7349,0.089
7,7487,0.015
7,7491,0.035
7,7504,0.035
7,7525,0.102
7,7531,0.123
7,7572,0.184
7,7624,0.035
7,7719,0.656
7,7744,0.045
7,7749,0.015
7,7845,0.93
7,7885,0.773
7,7938,0.015
7,7939,0.51
7,7948,0.06
7,7954,0.012
7,7969,0.05
7,8051,0.33
7,8074,0.02
7,8126,0.357
7,8136,0.012
7,8145,0.067
7,8156,0.538
7,8183,0.305
7,8192,0.015
7,8225,0.016
7,8291,0.244
7,8310,0.074
7,8422,0.25
7,8430,0.035
7,8432,0.293
7,8750,0.05
7,8761,0.045
7,8818,0.096
7,8943,0.011
7,9003,0.015
7,9005,0.615
7,9161,0.165
7,9183,0.589
7,9247,0.158
7,9263,0.071
7,9280,0.042
7,9285,0.305
7,9342,0.015
7,9345,0.552
7,9356,0.015
7,9484,0.218
7,9523,0.04
7,9532,0.03
7,9538,0.036
7,9540,0.035
7,9566,0.207
7,9579,0.113
7,9586,0.052
7,9624,0.06
7,9748,0.357
7,9760,0.015
7,9765,0.176
7,9793,0.039
7,9803,0.101
7,9817,0.339
7,9837,0.057
7,9880,0.036
7,9888,0.015
7,9951,0.045
7,10064,0.18
7,10075,0.173
7,10115,0.414
7,10179,0.803
7,10215,0.018
7,10229,0.997
7,10304,0.976
7,10306,0.015
7,10319,0.101
7,10325,0.067
7,10377,0.18
7,10410,0.2
7,10418,0.661
7,10482,0.983
7,10553,0.172
7,10676,0.102
7,10692,0.17
7,10718,0.099
7,10757,0.015
7,10803,0.138
7,10811,0.2
7,10836,0.09
7,10881,0.473
7,10891,0.146
7,10895,0.09
7,10899,0.02
7,10920,0.509
7,10984,0.1
7,11063,1.0
7,11096,0.408
7,11202,0.915
7,11209,0.077
7,11309,0.203
7,11329,0.218
7,11330,0.048
7,11354,0.02
7,11378,0.015
7,11388,0.015
7,11474,0.966
7,11552,0.06
7,11595,0.354
7,11612,0.087
7,11647,0.02
7,11675,0.028
7,11677,0.155
7,11720,0.025
7,11760,0.03
7,11765,0.203
7,11776,0.036
7,11822,0.102
7,11855,0.03
7,11994,0.071
7,12120,0.261
7,12130,0.084
7,12172,0.027
7,12183,0.02
7,12215,0.09
7,12216,0.02
7,12251,0.178
7,12281,0.154
7,12302,0.035
7,12311,0.106
7,12317,0.02
7,12380,0.085
7,12401,0.141
7,12556,0.087
7,12559,0.168
7,12575,0.145
7,12598,0.012
7,12641,0.015
7,12700,0.065
7,12703,0.051
7,12740,0.175
7,12741,0.136
7,12743,0.132
7,12771,0.98
7,12871,0.035
7,12925,0.035
7,12963,0.04
7,12969,0.035
7,13057,0.015
7,13058,0.185
7,13113,0.027
7,13140,0.02
7,13155,1.0
7,13210,0.015
7,13266,0.155
7,13274,0.038
7,13326,0.099
7,13394,0.035
7,13415,0.157
7,13470,0.357
7,13477,0.282
7,13505,0.137
7,13564,0.059
7,13577,0.055
7,13609,0.162
7,13687,0.281
7,13727,0.165
7,13810,1.0
7,13821,0.907
7,13953,0.035
7,13965,0.164
7,13999,0.67
7,14041,0.129
7,14084,0.307
7,14116,0.065
7,14149,0.97
7,14180,0.187
7,14244,0.111
7,14245,0.015
7,14285,0.172
7,14352,0.03
7,14404,0.147
7,14451,0.015
7,14454,0.065
7,14518,0.03
7,14530,0.02
7,14541,0.047
7,14559,0.02
7,14593,1.0
7,14672,0.131
7,14700,0.135
7,14704,0.019
7,14723,0.02
7,14725,0.14
7,14751,0.035
7,14838,0.075
7,14862,0.113
7,14954,0.066
7,15145,0.035
7,15186,0.533
7,15241,0.463
7,15259,0.086
7,15357,0.035
7,15360,0.229
7,15365,0.177
7,15367,0.172
7,15377,0.05
7,15389,0.02
7,15403,0.07
7,15406,0.015
7,15409,0.159
7,15485,0.949
7,15495,0.213
7,15525,0.057
7,15533,0.063
7,15543,0.09
7,15599,0.052
7,15613,0.039
7,15751,0.2
7,15779,0.08
7,15788,0.055
7,15865,0.015
7,15872,0.815
7,15873,0.15
7,15892,0.032
7,15898,0.15
7,16103,0.044
7,16173,0.02
7,16208,0.021
7,16268,0.044
7,16346,0.03
7,16362,0.027
7,16369,0.088
7,16382,0.042
8,222,0.018
8,580,0.317
8,620,0.128
8,657,0.407
8,862,0.419
8,869,0.417
8,1012,0.018
8,1056,0.544
8,1066,0.454
8,1137,0.056
8,1188,0.353
8,1264,0.338
8,1288,0.111
8,1419,0.046
8,1500,0.015
8,1636,0.148
8,1740,0.445
8,1822,0.167
8,1980,0.143
8,2176,0.108
8,2220,0.498
8,2311,0.055
8,2355,0.122
8,2533,0.928
8,2634,0.016
8,2746,0.074
